ResponseId,Q179,Q4_4,Q80_1,Q256,Q190,Q191,Q120,Q4_2,Q4_3,Q4_5,Q82_1,Q83_1,Q84,Q219_3,Q219_4,Q243_1,Q243_2,Q243_3,Q243_9,Q211,Q86,Q87
R_3lKeXwbviPL5Q8j,31-40 Stunden,0,53,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,71686,1,0,0,184,105,8,sich nicht verändert,sich nicht verändert,50,,,44,Zufriedenstellend,4501-5000€,
R_aXLRaofBSwinBeh,41-50 Stunden,0,39,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,10249,1,0,0,173,77,4,sich nicht verändert,sich nicht verändert,36,,,45,Sehr gut,5501-6000€,
R_2Qy4KcBXNalOsfr,31-40 Stunden,0,47,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,09557,1,0,0,189,86,2,sich nicht verändert,sich nicht verändert,50,,,50,Gut,3501-4000€,
R_aXeXmNo3cmNrM77,Nicht erwerbstätig,,47,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),"Lehre/ Berufsausbildung im dualen System,Fachschulabschluss",88364,,,,160,75,5,,,,,,,Zufriedenstellend,,1001-1500€
R_U9CwFeFIrhHPc2d,41-50 Stunden,0,55,Weiblich,Abschluss der Polytechnischen Oberschule der DDR,Lehre/ Berufsausbildung im dualen System,99330,1,0,0,156,60,2,sich nicht verändert,sich nicht verändert,50,,,50,Zufriedenstellend,5001-5500€,
R_2an2kEtyCPjExyN,41-50 Stunden,0,21,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Ohne beruflichen Bildungsabschluss,46535,0,0,1,178,84,7,,,,,,,Gut,3501-4000€,
R_2B8ugQdI567Yo7G,41-50 Stunden,,37,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),"Lehre/ Berufsausbildung im dualen System,Bachelor",56068,,,,183,91,3,,,,,,,Schlecht,,1501-2000€
R_3JnkWl0wL76BOb4,31-40 Stunden,,61,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Fachschulabschluss,77767,,,,182,94,7,,,,,,,Zufriedenstellend,,2501-3000€
R_71xglrQs8YuQoud,Nicht erwerbstätig,,55,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,46147,,,,181,97,2,,,,,,,Weniger gut,,1001-1500€
R_3ndV3QpuNlJ2Pv9,Mehr als 50 Stunden,1,56,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,63526,1,0,0,190,128,2,sich nicht verändert,stark abgenommen,50,,,10,Gut,5001-5500€,
R_2cdCAU0r6G2OKxk,Mehr als 50 Stunden,0,61,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),"Master,Promotion",73565,1,0,0,178,80,"10=sehr bereit, Risiken einzugehen",stark abgenommen,sich nicht verändert,100,,,100,Gut,2001-2500€,
R_2qaxxlyWgrZBqZ7,31-40 Stunden,,51,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,86609,,,,185,112,6,,,,,,,Gut,,1501-2000€
R_ZCtvpnRYRAQ7Mg9,31-40 Stunden,0,62,Weiblich,Abschluss der Polytechnischen Oberschule der DDR,Lehre/ Berufsausbildung im dualen System,96476,1,0,0,169,71,4,leicht abgenommen,sich nicht verändert,25,,,60,Gut,3001-3500€,
R_NUVCFZJacwghzyN,31-40 Stunden,,37,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,89079,,,,176,84,3,,,,,,,Gut,,2501-3000€
R_1MXuEUl9JD54iWx,Nicht erwerbstätig,0,61,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,44625,0,0,0,193,114,6,,,,,,,Zufriedenstellend,501-1000€,
R_BV7KnxkAp5fkGEF,21-30 Stunden,0,58,Weiblich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,63073,1,0,0,172,64,1,sich nicht verändert,leicht abgenommen,68,,,100,Gut,3001-3500€,
R_2a8euuM3kMzxECG,Nicht erwerbstätig,,53,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,86381,,,,178,103,7,,,,,,,Schlecht,,501-1000€
R_3GBeeJSZliNDerh,1-10 Stunden,0,59,Weiblich,Abschluss der Polytechnischen Oberschule der DDR,Lehre/ Berufsausbildung im dualen System,02785,1,0,0,165,67,"0=überhaupt nicht bereit, Risiken einzugehen",stark abgenommen,sich nicht verändert,24,,,11,Weniger gut,1501-2000€,
R_25z2znqff54RXlP,41-50 Stunden,0,35,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,30161,0,1,1,182,91,5,,,,,,,Zufriedenstellend,501-1000€,
R_ptvAZlWv87EJHJD,31-40 Stunden,2,46,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,10317,1,0,0,165,75,3,sich nicht verändert,sich nicht verändert,100,100,100,79,Weniger gut,5001-5500€,
R_dh7xzO81KZ16jg5,Nicht erwerbstätig,0,26,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Ohne beruflichen Bildungsabschluss,64342,0,0,0,181,95,8,,,,,,,Gut,,0-500€
R_qOdWe1lDukImMBH,31-40 Stunden,2,41,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,50259,1,0,0,181,90,5,sich nicht verändert,sich nicht verändert,50,,10,50,Zufriedenstellend,4001-4500€,
R_2E0ijSMJAP4VWNM,31-40 Stunden,,52,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Fachschulabschluss,76534,,,,169,57,3,,,,,,,Gut,,1501-2000€
R_2fpRYi7WqoXxB8A,31-40 Stunden,2,36,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,04179,1,0,0,192,91,5,sich nicht verändert,sich nicht verändert,70,50,50,50,Gut,4501-5000€,
R_3O63X5rLoVUSWo9,Nicht erwerbstätig,0,70,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,06502,1,0,0,171,75,5,sich nicht verändert,sich nicht verändert,51,,,50,Zufriedenstellend,2501-3000€,
R_agAf57K8HG6dScV,Nicht erwerbstätig,,62,Männlich,Abschluss der Polytechnischen Oberschule der DDR,Fachschulabschluss (DDR),12355,,,,172,65,6,,,,,,,Weniger gut,,0-500€
R_2wRbNaSl8rLwfKu,1-10 Stunden,,58,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,63607,,,,163,88,"0=überhaupt nicht bereit, Risiken einzugehen",,,,,,,Zufriedenstellend,,501-1000€
R_7P5Ejhd43me3Osp,Nicht erwerbstätig,3,34,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,30459,1,0,0,163,51,7,sich nicht verändert,sich nicht verändert,80,96,92,100,Gut,2001-2500€,
R_pfyIYJNjca7P8Kl,41-50 Stunden,,59,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,04509,,,,178,115,4,,,,,,,Weniger gut,,2501-3000€
R_3MfAaCdT1ki3WCO,41-50 Stunden,2,57,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Ohne beruflichen Bildungsabschluss,41540,0,0,0,173,85,6,,,,,,,Gut,2501-3000€,
R_1lgGa30e8TVjRd0,Nicht erwerbstätig,,68,Weiblich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Ohne beruflichen Bildungsabschluss,47226,,,,162,92,"0=überhaupt nicht bereit, Risiken einzugehen",,,,,,,Schlecht,,1501-2000€
R_1rMkFV0iOY8tKOp,31-40 Stunden,0,68,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,35516,1,0,0,180,75,7,sich nicht verändert,sich nicht verändert,90,100,,80,Gut,3001-3500€,
R_2coLKct6bi3sHUD,31-40 Stunden,,45,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Fachschulabschluss,33803,,,,182,128,4,,,,,,,Zufriedenstellend,,1501-2000€
R_6Li4Tj6xRsH7vhv,31-40 Stunden,1,62,Männlich,Abschluss der Polytechnischen Oberschule der DDR,Fachschulabschluss (DDR),06628,1,0,0,186,88,5,sich nicht verändert,sich nicht verändert,58,52,,50,Weniger gut,1501-2000€,
R_sMg1dD4tjpE75ZL,11-20 Stunden,0,19,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,37688,0,0,0,155,50,6,,,,,,,Gut,,2501-3000€
R_2pMkoXlTbUK0dza,Nicht erwerbstätig,,57,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,95126,,,,173,95,2,,,,,,,Zufriedenstellend,,0-500€
R_Qal0ZyeBbxouOch,21-30 Stunden,,49,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Promotion,83043,,,,164,66,5,,,,,,,Gut,,3001-3500€
R_2ysDMbMVAPndnZ2,31-40 Stunden,0,25,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),"Lehre/ Berufsausbildung im dualen System,Bachelor",60314,1,0,0,175,60,4,leicht zugenommen,leicht zugenommen,71,,,60,Gut,4501-5000€,
R_3KoRPgITpezKaWT,31-40 Stunden,2,57,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Promotion,18275,1,0,0,179,88,7,sich nicht verändert,sich nicht verändert,90,,,75,Schlecht,4501-5000€,
R_prZzZHaf7suRhlv,Nicht erwerbstätig,,69,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,22335,,,,183,78,3,,,,,,,Gut,,1501-2000€
R_Rf9rmC1S7YQs8vL,31-40 Stunden,0,57,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,67071,2,0,0,192,108,7,sich nicht verändert,sich nicht verändert,71,,,69,Zufriedenstellend,3501-4000€,
R_1Iymyjj9KXFERyq,11-20 Stunden,2,46,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),"Lehre/ Berufsausbildung im dualen System,Diplom",24105,1,0,0,173,71,6,leicht abgenommen,leicht abgenommen,85,90,75,81,Gut,4501-5000€,
R_2S7tldJJyCQsXch,41-50 Stunden,0,67,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Fachschulabschluss,84028,1,0,0,172,94,6,sich nicht verändert,sich nicht verändert,30,3,0,17,Gut,2501-3000€,
R_2fCJgNbZnjCOkaW,31-40 Stunden,,30,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,07407,,,,194,95,1,,,,,,,Zufriedenstellend,,2001-2500€
R_AzdK4Ip30y88aAh,Nicht erwerbstätig,1,69,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,65375,0,1,0,175,70,1,,,,,,,Weniger gut,3501-4000€,
R_V1ODuoII7rEcVNL,Nicht erwerbstätig,0,63,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Fachschulabschluss,32756,1,0,0,183,106,"0=überhaupt nicht bereit, Risiken einzugehen",leicht abgenommen,leicht abgenommen,51,,,60,Zufriedenstellend,2001-2500€,
R_1dcS2r4YbHsMbZ4,Nicht erwerbstätig,,40,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,31134,,,,164,85,5,,,,,,,Zufriedenstellend,,2001-2500€
R_2TZ87fYHyiBIaqE,Nicht erwerbstätig,,63,Weiblich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Ohne beruflichen Bildungsabschluss,34385,,,,172,102,5,,,,,,,Zufriedenstellend,,0-500€
R_1igtNdQgMZYMsHI,11-20 Stunden,0,31,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Ohne beruflichen Bildungsabschluss,65428,0,2,0,174,74,4,,,,,,,Gut,2501-3000€,
R_3nUFdeXY6El1dYy,31-40 Stunden,,48,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,21423,,,,181,86,6,,,,,,,Zufriedenstellend,,4001-4500€
R_2zveZNePfVsUE3R,31-40 Stunden,,29,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,46419,,,,179,77,6,,,,,,,Zufriedenstellend,,2001-2500€
R_1H0P46HwrGsn5SM,Nicht erwerbstätig,0,51,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,82041,1,0,0,157,48,"10=sehr bereit, Risiken einzugehen",sich nicht verändert,leicht abgenommen,,,,,Schlecht,2501-3000€,
R_2WUP8oPRZbJotRm,21-30 Stunden,1,34,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,40589,1,0,0,160,95,3,sich nicht verändert,sich nicht verändert,40,65,,90,Gut,4501-5000€,
R_1GU4faIY77BVlsH,31-40 Stunden,1,36,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Fachschulabschluss,01277,1,0,0,175,85,8,sich nicht verändert,sich nicht verändert,74,40,,50,Sehr gut,4001-4500€,
R_3QYKgBBrrjF3AGn,41-50 Stunden,2,41,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,97980,1,0,0,188,107,3,sich nicht verändert,sich nicht verändert,80,40,30,40,Zufriedenstellend,4001-4500€,
R_1GTXf0gR6jSS6VT,11-20 Stunden,,65,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,64319,,,,188,91,7,,,,,,,Zufriedenstellend,,2001-2500€
R_1Hk8iKdTEnCmW2k,Nicht erwerbstätig,,67,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,67657,,,,176,106,3,,,,,,,Gut,,1501-2000€
R_2c3DP1lIB5melr3,0 Stunden,4,38,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,83101,1,0,0,166,75,5,leicht abgenommen,sich nicht verändert,75,76,98,80,Zufriedenstellend,2501-3000€,
R_3Gm5FZyhqF3NXTi,Nicht erwerbstätig,0,50,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),"Lehre/ Berufsausbildung im dualen System,Fachschulabschluss",59229,1,0,0,161,52,4,sich nicht verändert,sich nicht verändert,100,,,0,Zufriedenstellend,3001-3500€,
R_2c7yMjmDuktSGhU,Nicht erwerbstätig,0,52,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,76297,1,0,0,180,139,2,stark abgenommen,stark abgenommen,95,,,85,Weniger gut,1001-1500€,
R_2bJmAmfzcDBxAY1,41-50 Stunden,2,52,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,63688,1,0,0,186,85,4,sich nicht verändert,sich nicht verändert,31,,,20,Gut,4501-5000€,
R_3Pn4SyZVVUiwDjB,Nicht erwerbstätig,,56,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Fachschulabschluss,90522,,,,168,66,6,,,,,,,Schlecht,,1501-2000€
R_1d5NU6onI1r7rTp,31-40 Stunden,,39,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,38855,,,,178,81,2,,,,,,,Gut,,2001-2500€
R_1IBhOgnk5TMH5xp,31-40 Stunden,0,29,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,44629,1,0,0,163,69,5,sich nicht verändert,sich nicht verändert,50,,,50,Gut,4001-4500€,
R_1GxF0WJlB7C668H,31-40 Stunden,,33,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),"Lehre/ Berufsausbildung im dualen System,Fachschulabschluss,Bachelor",30823,,,,182,75,4,,,,,,,Gut,,2001-2500€
R_3HNCpekVuEa3cLF,41-50 Stunden,,35,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,47803,,,,173,64,5,,,,,,,Gut,,5501-6000€
R_3F4kwYrDSOnAJI9,31-40 Stunden,0,40,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Diplom,38474,1,0,0,172,71,2,leicht zugenommen,sich nicht verändert,0,,,100,Gut,4001-4500€,
R_1nV1uWmNa0pRFDc,0 Stunden,,63,Weiblich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,54484,,,,163,66,6,,,,,,,Zufriedenstellend,,3001-3500€
R_qJ9PhdHhEOnsVnH,Nicht erwerbstätig,0,67,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,33605,1,0,0,172,84,"0=überhaupt nicht bereit, Risiken einzugehen",sich nicht verändert,sich nicht verändert,50,,,50,Gut,3001-3500€,
R_2ccHJgBtKKSneuh,31-40 Stunden,,50,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,25482,,,,185,76,7,,,,,,,Gut,,4501-5000€
R_2fpLDBqHugncUsV,41-50 Stunden,1,38,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,90480,1,0,0,175,102,9,leicht zugenommen,leicht zugenommen,75,90,90,25,Zufriedenstellend,5501-6000€,
R_bmejgaqXxJTV0Yx,0 Stunden,,55,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,99086,,,,183,86,7,,,,,,,Zufriedenstellend,,4001-4500€
R_3nqS17BZK9FbyT7,Nicht erwerbstätig,,63,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,06406,,,,186,138,6,,,,,,,Zufriedenstellend,,2501-3000€
R_2ttJobB0p0TYh4T,31-40 Stunden,0,30,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,42697,1,0,0,161,88,3,sich nicht verändert,sich nicht verändert,93,,,55,Gut,4501-5000€,
R_Q4jAfVeATwEi7DP,21-30 Stunden,,55,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,22175,,,,166,87,2,,,,,,,Weniger gut,,1001-1500€
R_6ormCCmq1KO1hU5,21-30 Stunden,1,53,Weiblich,Abschluss der Polytechnischen Oberschule der DDR,Lehre/ Berufsausbildung im dualen System,06463,0,0,0,160,60,"10=sehr bereit, Risiken einzugehen",,,,,,,Gut,1001-1500€,
R_1DJdDeiwrpQI87z,Nicht erwerbstätig,,62,Männlich,Abschluss der Polytechnischen Oberschule der DDR,Diplom,94256,,,,194,104,3,,,,,,,Gut,,501-1000€
R_24r2TUVUxCEquIB,41-50 Stunden,0,35,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,29614,1,1,1,178,77,6,sich nicht verändert,sich nicht verändert,59,26,,56,Gut,6001-6500€,
R_3CCTCIxeBEbPzCY,31-40 Stunden,0,46,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,80995,1,0,0,179,66,3,sich nicht verändert,sich nicht verändert,29,,,50,Gut,4501-5000€,
R_1kRXOJJhlc2QPJ3,21-30 Stunden,,62,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,53842,,,,184,109,5,,,,,,,Gut,,5001-5500€
R_3qsqsoNsemU4Y3D,1-10 Stunden,1,50,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,48488,1,0,0,176,84,6,sich nicht verändert,sich nicht verändert,100,100,100,100,Weniger gut,2001-2500€,
R_3JnqJJoXck6OHIn,Nicht erwerbstätig,,61,Weiblich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Ohne beruflichen Bildungsabschluss,51688,,,,163,75,9,,,,,,,Gut,,0-500€
R_2zzLW6A01k1NmAB,Nicht erwerbstätig,0,26,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Ohne beruflichen Bildungsabschluss,81477,0,1,0,183,72,7,,,,,,,Zufriedenstellend,1501-2000€,
R_3ReWy2SMIUhnprL,Nicht erwerbstätig,0,67,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),"Lehre/ Berufsausbildung im dualen System,Fachschulabschluss (DDR)",12627,1,0,0,160,66,7,sich nicht verändert,sich nicht verändert,50,30,,50,Zufriedenstellend,2501-3000€,
R_RzcDvCWU0dNkuBP,31-40 Stunden,0,64,Weiblich,Abschluss der Polytechnischen Oberschule der DDR,Lehre/ Berufsausbildung im dualen System,22087,0,0,0,170,48,7,,,,,,,Schlecht,1501-2000€,
R_1i8WQbM9vRt9Kyv,Nicht erwerbstätig,,67,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Ohne beruflichen Bildungsabschluss,54595,,,,185,113,"0=überhaupt nicht bereit, Risiken einzugehen",,,,,,,Zufriedenstellend,,1001-1500€
R_8ps9ehIJpMewdeV,41-50 Stunden,2,48,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,63225,1,0,0,188,81,2,sich nicht verändert,sich nicht verändert,50,51,50,50,Sehr gut,7501-8000€,
R_1oGxnojJIBRNFhr,1-10 Stunden,1,60,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Fachschulabschluss,85049,1,0,0,176,101,3,sich nicht verändert,sich nicht verändert,81,,,50,Gut,7501-8000€,
R_2E9L0hOHJzeRa8o,Nicht erwerbstätig,,69,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Fachschulabschluss (DDR),56179,,,,161,74,7,,,,,,,Gut,,501-1000€
R_01ltqhhoj7KXLfH,11-20 Stunden,,44,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,81541,,,,164,72,1,,,,,,,Sehr gut,,2001-2500€
R_1lz9glb05OpbM4X,31-40 Stunden,0,61,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,66693,1,0,0,178,79,2,sich nicht verändert,leicht abgenommen,66,,,70,Gut,2501-3000€,
R_2S7AO2vTqHRTGkE,Nicht erwerbstätig,0,63,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,50937,1,0,0,168,72,1,sich nicht verändert,sich nicht verändert,80,,,75,Gut,3501-4000€,
R_1dhNyllghl36NnR,Nicht erwerbstätig,0,67,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,24146,0,0,0,170,48,2,,,,,,,Zufriedenstellend,,3501-4000€
R_2fl263nKQeMhAKh,Nicht erwerbstätig,2,42,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,95460,0,0,0,170,70,5,,,,,,,Gut,1001-1500€,
R_3HoGNLyNvKRcLjq,Nicht erwerbstätig,0,58,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,56357,1,0,0,163,94,1,sich nicht verändert,sich nicht verändert,60,,,78,Zufriedenstellend,2001-2500€,
R_2CkSuQUvANyywLH,Mehr als 50 Stunden,1,48,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,02953,0,0,0,187,90,5,,,,,,,Zufriedenstellend,2501-3000€,
R_2rpfQxK3Dtfuk1l,31-40 Stunden,1,35,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,10623,1,0,0,180,81,"0=überhaupt nicht bereit, Risiken einzugehen",sich nicht verändert,sich nicht verändert,,,,61,Gut,0-500€,
R_3Rl5xWpJeM0sfML,1-10 Stunden,0,26,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,33154,2,0,2,168,65,4,,,,,,,Gut,5001-5500€,
R_1Qcuo25CBhPqFXU,21-30 Stunden,,40,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,31275,,,,169,68,6,,,,,,,Gut,,1001-1500€
R_Rnvr683scMoX3Il,Nicht erwerbstätig,0,72,Männlich,Abschluss der Polytechnischen Oberschule der DDR,Fachschulabschluss (DDR),65623,1,0,0,172,100,5,sich nicht verändert,sich nicht verändert,58,,,50,Zufriedenstellend,501-1000€,
R_880l2cwSp4uQpgJ,Mehr als 50 Stunden,,28,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Fachschulabschluss,77652,,,,165,77,7,,,,,,,Zufriedenstellend,,1501-2000€
R_30oCUS9Vza15W2g,Nicht erwerbstätig,0,68,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,24539,1,0,0,176,111,6,sich nicht verändert,sich nicht verändert,10,,,10,Gut,2501-3000€,
R_3oMAOebtsOm3duq,21-30 Stunden,,56,Männlich,Abschluss der Polytechnischen Oberschule der DDR,Lehre/ Berufsausbildung im dualen System,13089,,,,173,94,5,,,,,,,Sehr gut,,1001-1500€
R_2amKMRO0Wqv8NEW,Nicht erwerbstätig,,68,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,65232,,,,179,103,7,,,,,,,Zufriedenstellend,,1501-2000€
R_3h5SIOfH7g3kgbe,0 Stunden,,65,Männlich,Abschluss der Polytechnischen Oberschule der DDR,Lehre/ Berufsausbildung im dualen System,82467,,,,179,82,"0=überhaupt nicht bereit, Risiken einzugehen",,,,,,,Zufriedenstellend,,1501-2000€
R_yZT4zyCldhSNYxb,Nicht erwerbstätig,3,37,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,97215,1,0,0,166,65,5,sich nicht verändert,sich nicht verändert,49,45,65,68,Gut,4001-4500€,
R_1Olz7HYVBOFY9aw,31-40 Stunden,,55,Weiblich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Ohne beruflichen Bildungsabschluss,35260,,,,173,88,9,,,,,,,Sehr gut,,1001-1500€
R_28ZKC1vJWV52YUv,11-20 Stunden,1,46,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,45711,1,0,0,170,60,"0=überhaupt nicht bereit, Risiken einzugehen",sich nicht verändert,sich nicht verändert,100,100,100,100,Zufriedenstellend,3001-3500€,
R_2OZ7W1u0eQxxxh5,31-40 Stunden,,28,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,53111,,,,188,86,5,,,,,,,Zufriedenstellend,,2001-2500€
